,Homepage,Homepage,Homepage,Subpages,Subpages,Subpages
,P,R,F1,P,R,F1
Model,,,,,,
DF,0.7767,0.7608,0.7571,0.3318,0.3306,0.3129
DF-Proteus,0.778,0.7741,0.779,0.3468,0.3532,0.3326
DF-Change,+0.0013,+0.0133,+0.0219,+0.0150,+0.0226,+0.0197
RF,0.9009,0.8926,0.8919,0.4817,0.4831,0.4567
RF-Proteus,0.8903,0.8909,0.8949,0.5126,0.5041,0.4932
RF-Change,-0.0106,-0.0017,+0.0030,+0.0309,+0.0210,+0.0365
TikTok,0.831,0.8216,0.8191,0.3535,0.3656,0.3437
TikTok-Proteus,0.8313,0.8281,0.8292,0.369,0.3862,0.3631
TikTok-Change,+0.0003,+0.0065,+0.0101,+0.0155,+0.0206,+0.0194
VarCNN,0.8442,0.825,0.8248,0.3892,0.3819,0.3604
VarCNN-Proteus,0.8453,0.8418,0.8507,0.4003,0.378,0.3834
VarCNN-Change,+0.0011,+0.0168,+0.0259,+0.0111,-0.0039,+0.0230
