,Homepage,Homepage,Homepage,Subpages,Subpages,Subpages
,P,R,F1,P,R,F1
Model,,,,,,
DF,0.7738,0.7654,0.7608,0.3257,0.3368,0.3158
DF-Proteus,0.7831,0.7908,0.7874,0.3531,0.3707,0.3572
DF-Change,+0.0093,+0.0254,+0.0266,+0.0274,+0.0339,+0.0414
RF,0.8985,0.8845,0.8799,0.4774,0.4755,0.4473
RF-Proteus,0.905,0.9024,0.8982,0.5577,0.5671,0.5583
RF-Change,+0.0065,+0.0179,+0.0183,+0.0803,+0.0916,+0.1110
TikTok,0.8308,0.821,0.8185,0.3601,0.3619,0.3431
TikTok-Proteus,0.8524,0.8481,0.844,0.3974,0.4133,0.401
TikTok-Change,+0.0216,+0.0271,+0.0255,+0.0373,+0.0514,+0.0579
VarCNN,0.8342,0.8188,0.8165,0.3971,0.3745,0.3538
VarCNN-Proteus,0.8621,0.8596,0.8624,0.4233,0.4357,0.4269
VarCNN-Change,+0.0279,+0.0408,+0.0459,+0.0262,+0.0612,+0.0731
