,Homepage,Homepage,Homepage,Subpages,Subpages,Subpages
,P,R,F1,P,R,F1
Model,,,,,,
DF,0.779,0.7668,0.7632,0.3336,0.3369,0.317
DF-Proteus,0.788,0.7883,0.7856,0.342,0.3619,0.3448
DF-Change,+0.0090,+0.0215,+0.0224,+0.0084,+0.0250,+0.0278
RF,0.8919,0.8838,0.8808,0.4769,0.4726,0.4451
RF-Proteus,0.9074,0.9005,0.9,0.5144,0.5237,0.5049
RF-Change,+0.0155,+0.0167,+0.0192,+0.0375,+0.0511,+0.0598
TikTok,0.8324,0.82,0.8184,0.3405,0.3565,0.331
TikTok-Proteus,0.847,0.8463,0.8501,0.3815,0.4008,0.3817
TikTok-Change,+0.0146,+0.0263,+0.0317,+0.0410,+0.0443,+0.0507
VarCNN,0.8431,0.8257,0.8244,0.3926,0.3835,0.3564
VarCNN-Proteus,0.8501,0.8503,0.852,0.4109,0.4266,0.4103
VarCNN-Change,+0.0070,+0.0246,+0.0276,+0.0183,+0.0431,+0.0539
